Estrazione del 2017-01-01
idImpianto;descCarburante;prezzo;isSelf;dtComu
3464;Benzina;1.806;0;30/12/2016 20:30:08
3464;Benzina;1.664;1;30/12/2016 20:30:08
3464;Gasolio;1.687;0;30/12/2016 20:30:08
3464;Gasolio;1.545;1;30/12/2016 20:30:08
3464;Metano;1.008;0;30/12/2016 20:30:08
3464;GPL;0.689;0;30/12/2016 20:30:08
3464;Excellium Diesel;1.625;1;30/12/2016 20:30:08
3467;Benzina;1.731;0;31/12/2016 07:02:01
3467;Benzina;1.584;1;31/12/2016 07:02:01
3467;Gasolio;1.585;0;31/12/2016 07:02:01
3467;Gasolio;1.446;1;31/12/2016 07:02:01
3467;Metano;1.049;0;31/12/2016 07:02:01
3467;GPL;0.629;0;31/12/2016 07:02:01
3467;Blue Super;1.881;0;31/12/2016 07:02:01
3467;Blue Super;1.734;1;31/12/2016 07:02:01
3467;Blue Diesel;1.685;0;31/12/2016 07:02:01
3467;Blue Diesel;1.546;1;31/12/2016 07:02:01
3467;Gasolio Alpino;1.585;0;31/12/2016 07:02:01
3467;Gasolio Alpino;1.446;1;31/12/2016 07:02:01
3468;Benzina;1.661;0;25/11/2016 08:19:37
3468;Benzina;1.661;1;25/11/2016 08:19:37
3468;Gasolio;1.515;0;25/11/2016 08:19:37
3468;Gasolio;1.515;1;25/11/2016 08:19:37
3468;GPL;0.629;0;25/11/2016 08:19:37
3468;Excellium Diesel;1.595;0;25/11/2016 08:19:37
3468;Excellium Diesel;1.595;1;25/11/2016 08:19:37
3470;Benzina;1.985;0;16/12/2016 10:32:15
3470;Benzina;1.795;1;16/12/2016 10:32:15
3470;Gasolio;1.990;0;16/12/2016 10:32:15
3470;Gasolio;1.800;1;16/12/2016 10:32:15
3470;Blue Super;2.135;0;16/12/2016 10:32:15
3470;Blue Super;1.945;1;16/12/2016 10:32:15
3470;Blue Diesel;2.090;0;16/12/2016 10:32:15
3470;Blue Diesel;1.900;1;16/12/2016 10:32:15
3471;Benzina;1.573;1;30/12/2016 19:30:08
3471;Gasolio;1.445;1;30/12/2016 19:30:08
3471;Metano;1.026;0;30/12/2016 19:30:08
3471;GPL;0.694;0;30/12/2016 19:30:08
3471;Excellium Diesel;1.525;1;30/12/2016 19:30:08
3472;Benzina;1.899;0;28/12/2016 16:07:34
3472;Benzina;1.849;1;28/12/2016 16:07:34
3472;Gasolio;1.749;0;28/12/2016 16:07:34
3472;Gasolio;1.699;1;28/12/2016 16:07:34
3472;GPL;0.739;0;28/12/2016 16:07:34
3472;Benzina WR 100;1.939;0;28/12/2016 16:07:34
3472;Benzina WR 100;1.889;1;28/12/2016 16:07:34
3473;Benzina;1.904;0;31/12/2016 11:39:52
3473;Benzina;1.604;1;31/12/2016 11:39:52
3473;Gasolio;1.749;0;31/12/2016 11:39:52
3473;Gasolio;1.449;1;31/12/2016 11:39:52
3473;Metano;1.000;0;31/12/2016 11:39:52
3473;GPL;0.609;0;31/12/2016 11:39:52
3473;Gasolio Premium;1.869;0;31/12/2016 11:39:52
3473;Gasolio Premium;1.569;1;31/12/2016 11:39:52
3473;Gasolio artico;1.869;0;31/12/2016 11:39:52
3473;Gasolio artico;1.569;1;31/12/2016 11:39:52
3474;Benzina;1.806;0;28/12/2016 07:30:05
3474;Benzina;1.670;1;28/12/2016 07:30:05
3474;Gasolio;1.622;0;28/12/2016 07:30:05
3474;Gasolio;1.476;1;28/12/2016 07:30:05
3474;Excellium Diesel;1.556;1;28/12/2016 07:30:05
3482;Benzina;1.559;1;24/12/2016 14:33:15
3482;Gasolio;1.379;1;24/12/2016 14:33:15
3482;Metano;1.110;0;24/12/2016 14:33:15
3482;GPL;0.649;0;24/12/2016 14:33:15
3482;Hi-Q Diesel;1.629;1;24/12/2016 14:33:15
3483;Benzina;1.546;1;24/12/2016 14:33:18
3483;Gasolio;1.397;1;24/12/2016 14:33:18
3483;GPL;0.562;0;24/12/2016 14:33:18
3483;Hi-Q Diesel;1.647;1;24/12/2016 14:33:18
3484;Benzina;1.739;1;24/12/2016 14:33:15
3484;Gasolio;1.559;1;24/12/2016 14:33:15
3484;Hi-Q Diesel;1.809;1;24/12/2016 14:33:15
3485;Benzina;1.759;1;24/12/2016 14:33:16
3485;Gasolio;1.579;1;24/12/2016 14:33:16
3485;Hi-Q Diesel;1.829;1;24/12/2016 14:33:16
3486;Benzina;1.849;0;01/01/2017 06:30:07
3486;Benzina;1.628;1;01/01/2017 06:30:07
3486;Gasolio;1.738;0;01/01/2017 06:30:07
3486;Gasolio;1.539;1;01/01/2017 06:30:07
3486;Excellium Diesel;1.818;0;01/01/2017 06:30:07
3486;Excellium Diesel;1.619;1;01/01/2017 06:30:07
3487;Benzina;2.003;0;30/12/2016 15:29:04
3487;Benzina;1.963;1;30/12/2016 15:29:04
3487;Gasolio;1.844;0;30/12/2016 15:29:04
3487;Gasolio;1.804;1;30/12/2016 15:29:04
3487;Benzina Plus 98;2.166;0;30/12/2016 15:29:04
3487;Gasolio Oro Diesel;1.924;0;30/12/2016 15:29:04
3487;Gasolio Oro Diesel;1.884;1;30/12/2016 15:29:04
3488;Benzina;2.007;0;28/12/2016 16:30:09
3488;Benzina;1.967;1;28/12/2016 16:30:09
3488;Gasolio;1.864;0;28/12/2016 16:30:09
3488;Gasolio;1.824;1;28/12/2016 16:30:09
3488;GPL;0.884;0;28/12/2016 16:30:09
3488;Excellium Diesel;1.944;0;28/12/2016 16:30:09
3488;Excellium Diesel;1.904;1;28/12/2016 16:30:09
3489;Benzina;1.666;1;30/12/2016 10:00:07
3489;Gasolio;1.518;1;30/12/2016 10:00:07
3489;GPL;0.740;0;30/12/2016 10:00:07
3492;Benzina;1.687;1;30/12/2016 09:24:12
3492;Gasolio;1.557;1;30/12/2016 09:24:12
3493;Benzina;1.823;0;30/12/2016 08:42:06
3493;Benzina;1.607;1;30/12/2016 08:42:06
3493;Gasolio;1.659;0;30/12/2016 08:42:06
3493;Gasolio;1.443;1;30/12/2016 08:42:06
3493;Metano;1.125;0;30/12/2016 08:42:06
3493;GPL;0.649;0;30/12/2016 08:42:06
3493;Blue Super;1.952;0;30/12/2016 08:42:06
3493;Blue Super;1.762;1;30/12/2016 08:42:06
3493;Blue Diesel;1.759;0;30/12/2016 08:42:06
3493;Blue Diesel;1.543;1;30/12/2016 08:42:06
